species,location
Alstonia scholaris,Anderson Hall
Murraya paniculata,MMIP
Pandanus baptistii,Canteen
Phyllanthus acidus,QSC
Polyalthia longifolia,Botany Tank
Psychotria nervosa,QSC
Zamia furfuracea,QSC
Rosa indica,College Garden
Nelumbo nucifera,Campus Pond
Tagetes erecta,Main Gate
Hibiscus rosa-sinensis,Science Block
Agaricus bisporus,MCC IOB Road
Pleurotus ostreatus,Forest Trail
Lentinula edodes,Biology Lab
Cantharellus cibarius,Western Woods
Azadirachta indica,Main Gate
Ficus benghalensis,Library
Cocos nucifera,Hostel Block
Mangifera indica,Canteen
Ocimum tenuiflorum,Temple Area
